         130657 function calls (127146 primitive calls) in 28.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _common.py:57(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _common.py:68(encode)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _compression.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:37(create_channel_option)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.002    0.002 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:100(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:197(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:534(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:75(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:118(TooHardError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:123(AxisError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:141(_ArrayMemoryError)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _exceptions.py:32(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:38(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:54(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:72(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:81(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:99(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:30(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:44(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:57(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:65(__new__)
        9    0.000    0.000    0.000    0.000 _globals.py:75(__repr__)
        1    0.000    0.000    0.000    0.000 _grpcio_metadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
      624    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       15    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
       16    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      624    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      620    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      620    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      624    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.000    0.000 _interceptor.py:102(ClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:106(UnaryUnaryClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:139(UnaryStreamClientInterceptor)
        2    0.000    0.000    0.001    0.001 _interceptor.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _interceptor.py:150(_UnaryOutcome)
        1    0.000    0.000    0.000    0.000 _interceptor.py:176(StreamUnaryClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:202(_UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _interceptor.py:217(StreamStreamClientInterceptor)
        1    0.000    0.000    0.000    0.000 _interceptor.py:22(_ServicePipeline)
        1    0.000    0.000    0.000    0.000 _interceptor.py:262(InterceptedCall)
        1    0.000    0.000    0.000    0.000 _interceptor.py:304(_UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _interceptor.py:341(_StreamUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _interceptor.py:42(service_pipeline)
        1    0.000    0.000    0.000    0.000 _interceptor.py:439(_InterceptedUnaryResponseMixin)
